,no2poly_m3_h,fe_m3_h,ts_mg_L,no2con_hz,no2conp_hz,feed_m3_h,dehydro_hz,screw_mm,no1poly_m3_h,con_pre_mpa
60,0.0,20.99999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
61,0.0,21.09999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
62,0.0,21.199999999999978,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
63,0.0,21.299999999999976,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
64,0.0,21.399999999999977,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
65,0.0,21.49999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
66,0.0,21.599999999999977,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
67,0.0,21.699999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
68,0.0,21.799999999999976,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
69,0.0,21.899999999999977,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
70,0.0,21.999999999999975,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
71,0.0,22.099999999999973,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
72,0.0,22.199999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
73,0.0,22.299999999999976,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
74,0.0,22.399999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
75,0.0,22.49999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
76,0.0,22.599999999999973,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
77,0.0,22.699999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
78,0.0,22.799999999999972,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
79,0.0,22.89999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
80,0.0,22.99999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
81,0.0,23.099999999999973,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
82,0.0,23.19999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
83,0.0,23.29999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
84,0.0,23.39999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
85,0.0,23.49999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
86,0.0,23.59999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
87,0.0,23.699999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
88,0.0,23.79999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
89,0.0,23.89999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
90,0.0,23.999999999999968,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
91,0.0,24.099999999999966,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
92,0.0,24.199999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
93,0.0,24.29999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
94,0.0,24.399999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
95,0.0,24.499999999999964,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
96,0.0,24.599999999999966,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
97,0.0,24.699999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
98,0.0,24.799999999999965,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
99,0.0,24.899999999999963,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
100,0.025,15.0,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
101,0.025,15.1,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
102,0.025,15.2,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
103,0.025,15.299999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
104,0.025,15.399999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
105,0.025,15.499999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
106,0.025,15.599999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
107,0.025,15.699999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
108,0.025,15.799999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
109,0.025,15.899999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
110,0.025,15.999999999999996,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
111,0.025,16.099999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
112,0.025,16.199999999999996,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
113,0.025,16.299999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
114,0.025,16.399999999999995,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
115,0.025,16.499999999999993,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
116,0.025,16.599999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
117,0.025,16.699999999999996,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
118,0.025,16.799999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
119,0.025,16.89999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
120,0.025,16.999999999999993,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
121,0.025,17.099999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
122,0.025,17.199999999999992,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
123,0.025,17.29999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
124,0.025,17.39999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
125,0.025,17.499999999999993,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
126,0.025,17.59999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
127,0.025,17.69999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
128,0.025,17.79999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
129,0.025,17.89999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
130,0.025,17.99999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
131,0.025,18.099999999999987,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
132,0.025,18.19999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
133,0.025,18.29999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
134,0.025,18.399999999999988,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
135,0.025,18.499999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
136,0.025,18.599999999999987,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
137,0.025,18.69999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
138,0.025,18.799999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
